Seq2Seq20slg,translation
X-Y BE WITH X-WE AT X-WE SIT .,they are with us at our sitting.
PLEASE DESC-WELCOME X-Y .,please welcome them.
APPLAUSE,applause
DESC-SECOND VICE PRESIDENT PAN AFRICAN PARLIAMENT AND CHAIR DELEGATION FOR RELATION WITH EUROPEAN PARLIAMENT .,second vice president pan african parliament and chair of the delegation for relations with the european parliament.
"X-WE PARLIAMENT WORK DESC-CLOSELY DESC-TOGER , AND X-YOU PRESENCE WITH X-WE TODAY GIVE X-WE DESC-GREAT PLEASURE .","our parliament worked closely together, and your presence with us today gives us great pleasure."
X-I BE DESC-SURE X-WE WILL HAVE OPPORTUNITY TO MEET DESC-AGAIN .,i am sure we will have the opportunity to meet again.
"DESC-ONCE DESC-AGAIN , X-I DESC-WARMLY DESC-WELCOME X-YOU ALL .","once again, I warmly welcome you all."
PREPARATION FOR EUROPEAN COUNCIL MEETING 25 26 MARCH 2010 DEBATE,preparation for the european council meeting 25 26 march 2010 debate
"DESC-HOWEVER , EUROPE BE MEET THIS SITUATION BY CREATE DESC-NEW DESC-ECONOMIC POLICY TOOL IN ALL AREA .","however, europe is meeting this situation by creating new economic policy tools in all areas."
"X-IT BE BE DO IN THIS WAY , BY COORDINATE DESC-ECONOMIC POLICY .","it is being done in this way, by coordinating economic policy."
"DESC-RE BE , DESC-MOREOVER , QUANTIFY COMMITMENT TO DESC-SO CALLEDFAST START .","there are, moreover, quantified commitments to so calledfast start."
HEAD STATE OR GOVERNMENT WILL DESC-LARGELY BE DEAL WITH THOSE MATTER .,heads of state or government will largely be dealing with those matters.
X-WE HAVE CHALLENGE TASK DESC-AHEAD X-WE .,we have a challenging task ahead of us.
"FOR THOSE TASK , DESC-FRESH AND DESC-FORCEFUL BACKING EUROPEAN PARLIAMENT BE DESC-GREAT IMPORTANCE .","for those tasks, fresh and forceful backing of the european parliament is of great importance."
THAT SUPPORT BE DESC-CLEARLY DESC-EXPRESS AT DESC-DIFFERENT FORMATION COUNCIL MINISTER .,that support is clearly expressed at the different forms of council ministers.
BUT DESC-NOW TO EUROPEAN COUNCIL X-I BELIEVE EVERY EUROPEAN COUNCIL MUST DO TWO THING .,but now to the european council I believe every europeAN council must do two things.
"CRISIS ENTAIL DESC-SEVERAL PRESS CONCERN FOR COMMUNITY , WORKER AND BUSINESS ACROSS EUROPE .","the crisis entails several pressing concerns for communities, workers and businesses across europe."
"AND , AS X-WE KNOW , PUBLIC FINANCES AT DESC-NATIONAL LEVEL BE UNDER DESC-UNPRECEDENTED STRAIN .","and, as we know, public finances at national level are under unprecedented strain."
"EUROPEAN UNION MUST COURSE TACKLE SE ISSUE , INCLUDE DESC-FINANCIAL STABILITY .","the european union must of course tackle these issues, including financial stability."
X-I WILL COME DESC-BACK TO THIS DESC-AGAIN DESC-LATER .,i will come back to this again later.
EUROPE MUST DESC-NOT MAKE MISTAKE NEGLECT DESC-IMPERATIVE WORK DESC-NOW TO BRING ABOUT DESC-LONG TERM CHANGE .,europe must not make mistakes neglecting the imperative work now to bring about long term change.
X-WE HAVE DESC-ALREADY DEBATE EUROPE 2020 STRATEGY DESC-TOGER IN THIS PARLIAMENT .,we have already debated the europe 2020 strategy together in this parliament.
"DESC-SO , DESC-TOO , WILL BE CONTRIBUTION EUROPEAN COUNCIL .","so, too, will be the contribution of the european council."
X-WE LEVEL AMBITION MUST BE SET BY SCALE TASK DESC-AHEAD .,our level of ambition must be set by the scale of the tasks ahead.
X-WE NEED TO SHOW THAT X-WE HAVE VISION AND COHERENCE TO ACT .,we need to show that we have the vision and the coherence to act.
THIS BE WHY X-I BELIEVE X-IT BE DESC-SO DESC-IMPORTANT THAT EUROPEAN COUNCIL AGREE DESC-CLEAR TARGET THIS WEEK .,this is why I believe it is so important that the european council agrees a clear target this week.
TARGET WHICH COMMISSION HAVE PUT ON TABLE BE DESC-CAREFULLY CHOOSE .,the targets which the commission has put on the table are carefully chosen.
THIS BE DESC-ALSO ABOUT DESC-POLITICAL WILL TO TACKLE DESC-TOUGH PROBLEM .,this is also about the political will to tackle tough problems.
"COURSE , TARGET MUST BE DESC-ACHIEVABLE .","of course, targets must be achievable."
DESC-SO X-WE CAN DESC-NOT ACCEPT PRINCIPLE INTERDEPENDENCE DESC-GLOBALLY AND REJECT X-Y WHEN DISCUSS AT EUROPEAN LEVEL .,so we cannot accept the principle of interdependence globally and reject them when discussing at european level.
WHAT X-WE BE PROPOSE DESC-HERE BE DESC-NEW DEPARTURE .,what we are proposing here is a new department.
ACCEPT THIS APPROACH WILL BE DESC-REAL TEST FOR EUROPEAN COUNCIL .,accepting this approach will be a real test for the european council.
X-I BE ENCOURAGE BY RESULT DESC-INFORMAL EUROPEAN COUNCIL .,i am encouraged by the results of the informal european council.
X-WE NEED TO KEEP THIS TOP X-WE AGENDA .,we need to keep this top of our agenda.
DESC-SO LET X-WE MOVE ON FROM SOUL SEARCH ABOUT COPENHAGEN AND TAKE INITIATIVE DESC-ONCE DESC-AGAIN .,so let us move on from the south search about copenhagen and take the initiative once again.
"X-WE NEED DESC-CLEAR , UNIFY AND DESC-AMBITIOUS POSITION .","we need clear, unified and ambitious positions."
THAT BE WHY COMMISSION HAVE PUT DESC-FORWARD COMMUNICATION SET OUT STEP NEED TO REINVIGORATE DESC-INTERNATIONAL NEGOTIATION .,that is why the commission has put forward a communication setting out steps needed to reinvigorate international negotiations.
"AT DESC-SAME TIME , COMMISSIONER HEDEGAARD HAVE START SET CONSULTATION WITH X-WE KEY PARTNER .","at the same time, commissioner hedegaard has started setting a consultation with our key partners."
SE TWO AREA SHOW DESC-VIVIDLY HOW EUROPEAN BE LOOK TO EUROPEAN UNION X-POSS DESC-POLITICAL LEADERSHIP FOR ACTION .,these two areas show vigorously how europeans are looking to the european union's political leadership for action.
LET X-I DESC-REFORE STATE X-WE POSITION ON THIS .,let me therefore state our position on this.
GREECE BE DESC-CURRENTLY IN PROCESS DESC-CORRECT X-ITS DESC-EXCESSIVE GOVERNMENT DEFICIT .,greece is currently in the process of correcting its excessive government deficit.
BRING DEFICIT DESC-DOWN DESC-VIGOROUSLY BE DESC-CRUCIAL AND GREECE HAVE BE TAKE MEASURE TO THAT EFFECT .,bringing deficits down vigorously is crucial and greece has been taking measures to that effect.
X-IT SHOULD BE DESC-CLEAR THAT CREATION DESC-SUCH MECHANISM WILL DESC-NOT IMPLY X-ITS DESC-AUTOMATIC ACTIVATION .,it should be clear that the creation of such mechanisms will not imply its automatic activities.
CREATE DESC-SUCH MECHANISM BE DESC-ALSO QUESTION RESPONSIBILITY AND SOLIDARITY .,creating such mechanisms is also a question of responsibility and solidarity.
SOLIDARITY BE TWO WAY STREET .,solidarity is a two way street.
WORLD ECONOMY NEED STABILITY .,the world economy needs stability.
X-I HOPE THIS ISSUE WILL BE SOLVE IN SPIRIT RESPONSIBILITY AND SOLIDARITY .,i hope this issue will be solved in the spirit of responsibility and solidarity.
THAT BE EUROPEAN WAY TO DO X-IT .,that is the european way to do it.
APPLAUSE,applause
"TO WHAT EXTENT BE X-Y DESC-WILLING TO COOPERATE , AND WHAT BE LINE X-Y BE DESC-UNWILLING TO CROSS ?","to what extent are they willing to cooperate, and what is the line they are unwilling to cross?"
X-IT BE IN EVERYONE X-POSS INTEREST THAT X-WE GUARANTEE STABILITY EUROPE AND EUROPEAN DESC-MONETARY SYSTEM .,it is in everyone's interest that we guarantee the stability of europe and the european monetary system.
THIS RESPONSIBILITY BE THAT EACH MEMBER STATE TO GUARANTEE DESC-ACCURATE AND DESC-RELIABLE PUBLIC ACCOUNT .,this responsibility is that each member state to guarantee accurate and reliable public accounts.
"IN DESC-OR WORD , DESC-YES , EUROPE MUST SHOW SOLIDARITY WITH GREECE .","in other words, yes, europe must show solidarity with greece."
X-IT MUST ENSURE THAT GREECE COME THROUGH THIS DESC-DIFFICULT PERIOD .,it must ensure that greece comes through this difficult period.
X-IT DESC-NOW REMAIN FOR GREECE TO IMPLEMENT X-Y .,it now remains for greece to implement them.
"MR PRESIDENT , LADY AND GENTLEMAN , CRISIS BE FORCE X-WE TO CHANGE .","mr president, ladies and gentlemen, the crisis is forcing us to change."
"CRITERION STABILITY AND GROWTH PACT MUST BE APPLY , AND COMMISSION MUST ENSURE THIS .","the criteria of the stability and growth pact must be applied, and the commission must ensure this."
THIS HOUSE WILL SUPPORT X-IT IN THIS DESC-DIFFICULT TASK .,this house will support it in this difficult task.
DESC-SECOND CHANGE CONCERN GOVERNANCE X-WE PUBLIC FINANCES .,the second change concerns the governance of our public finances.
CAN THIS CONTINUE ?,can this continue?
X-I DO DESC-NOT THINK DESC-SO .,i do not think so.
"DESC-SUCH COORDINATION WILL DESC-ONLY MAKE IMPLEMENT SOLIDARITY BASE PRINCIPLE DESC-EASIER , DESC-FAIRER AND MORE DESC-NATURAL .","such coordination will only make implementing a solidarity based principle easier, fairer and more natural."
"MR PRESIDENT IN OFFICE COUNCIL , X-I INVITE X-YOU TO TAKE INITIATIVE ALONG SE LINE .","mr president in office of the council, I invite you to take the initiative along these lines."
APPLAUSE,applause
"GREECE HAVE DELIVER , WRITE DESC-INTERNATIONAL HERALD TRIBUNE .","greece has delivered, writing an international newspaper triune."
THAT BE DESC-FIRST POINT .,that is the first point.
APPLAUSE,applause
PRESIDENT COMMISSION HAVE DESC-QUITE DESC-RIGHTLY SPEAK SAFETY NET .,the president of the commission has quite rightly spoken of the safety net.
THAT BE DESC-NOT OBJECTIVE .,that is not the objective.
INTEREST RATE BE DESC-USUALLY 2.5 TO 3 % .,the interest rate is usually 2.5 to 3 %.
APPLAUSE,applause
THIS MEAN PEOPLE DESC-RE BE BE ROB .,this means the people there are being robbed.
"SPECULATOR WILL DESC-N TURN X-Y ATTENTION TO DESC-ITALY , TO UK AND TO SPAIN .","the speculators will then turn their attention to italy, to the uk and to spain."
"IF X-WE DO DESC-NOT WANT TO SEE DESC-LARGE SCALE CONFLAGRATION , X-WE NEED DESC-NOW TO DEMONSTRATE SOLIDARITY WITH GREECE .","if we do not want to see large scale confusion, we need now to demonstrate solidarity with greece."
X-IT BE DESC-NOT MATTER GIVE AID FOR SAKE X-IT .,it is not a matter of giving aid for saving it.
APPLAUSE,applause
X-IT BE COMMISSION THAT MUST PROPOSE HOW X-WE CAN ACHIEVE SENSIBLE STABILISATION WITHIN EURO AREA .,it is the commission that must propose how we can achieve sensible stabilisation within the euro area.
COMMISSION HAVE MAKE DESC-GOOD PROPOSAL AND X-I BELIEVE THAT COUNCIL SHOULD GO ALONG WITH X-Y .,the commission has made a good proposal and I believe that the council should go along with them.
SE DO DESC-NOT INCLUDE CALL ON DESC-INTERNATIONAL DESC-MONETARY FUND .,these do not include calls on the international monetary fund.
WHY DESC-NOT ?,why not?
X-WE BE IN POSITION TO RESOLVE PROBLEM WITHIN EURO AREA X-OURSELVES .,we are in a position to resolve the problems within the euro area ourselves.
"DESC-MOREOVER , X-I BE ASTONISH THAT CHANCELLOR MERKEL BE BRING DESC-INTERNATIONAL DESC-MONETARY FUND INTO PLAY .","moreover, I am astonished that the chanceller merkel is bringing international monetary funds into play."
THAT BE QUOTE FROM GERMAN BUNDESBANK .,that was quoted from the german bureau.
THAT BE DESC-NOT DESC-RIGHT WAY TO GO .,that is not the right way to go.
SPECULATION WILL DESC-NOT CEASE UNTIL DESC-SUCH SIGNAL HAVE BE GIVE .,the speculation will not cease until such signals have been given.
THIS BE NOTHING MORE THAN GAME X-I WILL INSURE X-MYSELF AGAINST X-MY NEIGHBOR X-POSS HOUSE BURN DESC-DOWN .,this is nothing more than a game I will insure myself against my neighbour's house burning down.
"SHOULD X-MY NEIGHBOR X-POSS HOUSE BURN DESC-DOWN , X-I GET INSURANCE MONEY .","should my neighbour's house burn down, I get insurance money."
THAT BE WHY SOLIDARITY WITH GREECE BE ACT TO STABILISE EURO IN EURO AREA .,that is why solidarity with greece is acting to stabilise the euro in the euro area.
APPLAUSE,applause
"X-I SHALL GO DESC-FURR , MR PRESIDENT .","i shall go further, mr president."
THAT BE X-MY FEELING TODAY .,that is my feeling today.
APPLAUSE,applause
X-IT BE DESC-NOT ABOUT THAT .,it is not about that.
DESC-RE BE TWO ELEMENT THAT COUNT IN TERM KNOW WHAT INTEREST RATE BE LIQUIDITY AND CREDIBILITY .,there are two elements that count in terms of knowing what interest rates are liquidity and credibility.
DESC-ONLY WAY RESOLVE THAT BE DESC-REALLY TO TAKE DESC-NECESSARY STEP INTRODUCE THIS EUROPEAN INSTRUMENT .,the only way of resolving that is really to take the necessary steps introduced this european instrument.
THAT BE WHAT WILL HAPPEN IF FIRM DECISION BE DESC-NOT TAKE DURING THIS COUNCIL .,that is what will happen if firm decisions are not taken during this council.
APPLAUSE,applause
THAT BE WHY EUROPE MUST INTERVENE .,that is why europe must intervene.
EUROPE MUST INTERVENE TO ENSURE THAT GREECE X-POSS CONSOLIDATION MEASURE BE DESC-WORTHWHILE .,europe must intervene to ensure that greece's consolidation measures are worthwhile.
"X-Y BE DESC-NECESSARY , BUT X-Y MUST DESC-ALSO BE DESC-WORTHWHILE .","they are necessary, but they must also be worthwhile."
THAT BE WHAT X-WE MUST HOPE FOR .,that is what we must hope for.
DESC-YET X-IT BE DESC-ONLY DESC-NOW THAT X-WE BE DEBATE TERM ON WHICH THIS ASSISTANCE BE BE GRANT .,yet it is only now that we are debating the terms on which this assistance is being granted.
X-I THINK X-IT BE DESC-DISGRACEFUL .,i think it is disgraceful.
APPLAUSE,applause
STATE GREECE MUST UTILISE CRISIS TO BRING ABOUT DESC-REAL REFORM .,the states of greece must utilise the crisis to bring about real reforms.
"AS X-I HAVE SAY , GREEK PEOPLE DESERVE DESC-MUCH DESC-BETTER .","as I have said, the greek people deserve much better."
"X-WE WILL DESC-N HAVE LOT TO DO , AND DESC-ONCE DESC-AGAIN THING WILL TURN DESC-BITTER , MR LANGEN .","we will then have a lot to do, and once again things will turn bitter, mr langen."
X-WE NEED TO EXPLAIN NECESSITY INTEGRATION TO X-WE CITIZEN .,we need to explain the necessity of integration to our citizens.
X-WE HAVE MAKE AS HEAVY WEAR THIS AS WHEN DISCUSS CONSTITUTION .,we have made as heavy a weight of this as when discussing the constitution.
NECESSITY INTEGRATE DESC-ECONOMIC POLICY BE WHAT NEED TO BE DISCUSS HENCEFORTH .,the necessity of integrating economic policy is what needs to be discussed henceforth.
"DESC-ORWISE , AS MR M?NCHAU WRITE TODAY , BEFORE DESC-LONG , CHANCELLOR MERKEL WILL BE RETURN DEFEAT FROM BRUSSELS .","otherwise, as mr msünchau wrote today, before long, the chancellors of merkel will be returning the defeat from brussels."
DESC-N BILD ZEITUNG WILL WRITE EURO MUST BE ABOLISH X-WE MUST BRING DESC-BACK DEUTSCHE MARK .,then the baby zebitung will write the euro must be abolished we must bring back the dutch mark.
WHAT WILL X-WE DO DESC-N ?,what will we do then?
X-IT BE DESC-NOT DESC-YET DESC-TOO DESC-LATE .,it is not yet too late.
GERMANY BE IN DESC-DECISIVE POSITION .,germany is in a decisive position.
X-I HOPE THAT MR SARKOZY WILL DESC-NOT GIVE IN AND BE DESC-INSTEAD MORE SENSIBLE THAN CHANCELLOR MERKEL .,i hope that mr sarkozy will not give in and be instead more sensible than the chanceller merkel.
"X-I WOULD LIKE , IN THIS CHAMBER , TO DESC-EXPRESS APPROVAL FOR GREEK GOVERNMENT .","i would like, in this chamber, to express approval for the greek government."
"X-IT BE GOVERNMENT WHICH , TODAY , BE FACE PROTEST ON X-ITS STREET .","it is a government which, today, is facing protests on its streets."
DEBATE ON EU 2020 DESC-ECONOMIC STRATEGY BE DESC-NATURALLY DESC-ALREADY ON AGENDA .,the debate on the eu 2020 economic strategy is naturally already on the agenda.
X-WE WANT STRATEGY FOR EUROPE THAT GIVE DESC-SOCIAL AND DESC-ECOLOGICAL NEED PRIORITY OVER DESC-COMPETITIVE INTEREST .,we want a strategy for europe that gives social and ecological needs priority over competitive interests.
EU 2020 BE MILE DESC-AWAY FROM THIS .,eu 2020 is miles away from this.
X-I HOPE THAT THIS ATTITUDE WILL DESC-NOT PREVAIL AMONG MAJORITY HEAD GOVERNMENT .,i hope that this attitude will not prevail among the majority of heads of government.
"MR PRESIDENT , X-MY COUNTRY , GREECE , HAVE DESC-MANY THING IN DESC-COMMON WITH CALIFORNIUM .","mr president, my country, greece, has many things in common with california."
SPEAKER BE INTERRUPT BY HECKLER,the speaker was interrupted by heckler
"X-IT BE ECONOMY DESC-YES , X-IT BE .","it is an economy yes, it is."
X-I REALIZE THAT .,i realise that.
THAT BE WHY X-I SAY WHAT X-I SAY BEFORE .,that is why I said what I said before.
OR WOULD DESC-CENTRAL ADMINISTRATION USA RESOLVE X-ITS PROBLEM ?,or would the central administration of the usa resolve its problems?
DO X-WE OR DO X-WE DESC-NOT HAVE DESC-CENTRAL ADMINISTRATION IN EUROPEAN UNION ?,do we or do we not have central administration in the european union?
HAVE X-IT SAW THROUGH COHESION EURO AND BE X-IT THREATEN UNITY UNION ?,has it sAW through the cohesion of the euro and is it threatening the unity of the union?
X-WE HAVE ACHIEVE DESC-SINGLE EUROPEAN MARKET .,we have achieved a single european market.
X-WE HAVE ACHIEVE EURO .,we have achieved the euro.
X-I DO DESC-NOT THINK THAT X-WE HAVE ACHIEVE ANYTHING DESC-ELSE IN DESC-COMMON .,i do not think that we have achieved anything else in common.
THAT BE WHY X-YOU DESC-ALSO SEE X-I WITH EURO SCEPTIC .,that is why you also see me with the euro sceptics.
"X-I TRUST THAT TOMORROW , X-WE SHALL PROVE THAT X-WE DESC-REALLY HAVE ACHIEVE HARMONY AND SOMETHING IN DESC-COMMON .","i trust that tomorrow, we shall prove that we really have achieved harmony and something in common."
HU THOSE WHO SPEAK BEFORE X-I ALL MENTION SOLUTION TO GREEK CRISIS .,hu those who spoke before me all mentioned solutions to the greek crisis.
"DESC-MEANWHILE , MR BARROSO , SUMMIT DO DESC-NOT DESC-EVEN PLACE X-IT ON X-ITS AGENDA .","meanwhile, mr barroso, the summit did not even place it on its agenda."
"DO X-YOU DESC-NOT SEE THIS AS CONTRADICTION , AS HYPOCRISY ?","do you not see this as a contradiction, as hypocrisy?"
BECAUSE X-IT DO DESC-NOT APPEAR ON OFFICIAL AGENDA .,because it does not appear on the official agenda.
"COURSE , X-IT BE DESC-NOT DESC-JUST GREECE THAT FIND X-ITSELF IN DESC-DIFFICULT SITUATION IN 2008 DESC-200AN IMF LOAN BE ACCEPT DESC-RE , MOVE THAT HAVE DESC-EXTREMELY DESC-SERIOUS CONSEQUENCE FOR POPULATION .","of course, it was not just greece that found itself in a difficult situation in 2008 200an imf loan was accepted there, a move that has extremely serious consequences for the population."
X-WE NEED TO FACE QUESTION WHAT LESSON DESC-FINANCIAL CRISIS BE .,we need to face the question of what the lessons of the financial crisis are.
BE X-IT THAT EVERYTHING BE CONNECT TO EVERYTHING DESC-ELSE ?,is it that everything is connected to everything else?
NO .,no.
WALLSTREET FALL .,wallsthe street fell.
LEAD UNION MEAN SEEK SOLUTION FOR GREECE .,leading the union means seeking solutions for greece.
EVERYONE HAVE SAY DESC-SO AND X-I BE DESC-NOT GO TO REPEAT X-IT .,everyone has said so and I am not going to repeat it.
DESC-TOUGHER SANCTION WOULD DESC-ALSO HAVE TO BE IMPLEMENT DESC-SO THAT AGREEMENT DESC-REALLY APPEAR DESC-BINDING .,tougher sanctions would also have to be implemented so that the agreement really appears binding.
WHAT DESC-ELSE DO X-IT INVOLVE ?,what else does it involve?
TELL X-WE WHAT X-IT INVOLVE AND X-WE WILL HELP X-YOU .,tell us what it involved and we will help you.
CONCLUSION TALK ABOUT DESC-TIMELY EXIT FROM DESC-EXCEPTIONAL SUPPORT MEASURE .,the conclusions talked about timely exit from exceptional support measures.
WHAT DO THAT MEAN IN PRACTICE ?,what does that mean in practice?
X-WE FEEL THAT TIMETABLE BE DESC-HOPELESSLY DESC-OPTIMISTIC .,we feel that the timetable is hopelessly optimistic.
X-IT BE RECIPE FOR DISASTER .,it is a recipe for disaster.
X-WE NEED SUSTAIN DESC-SOCIAL AND DESC-SUSTAINABLE EXIT STRATEGY .,we need a sustainable social and sustainable exit strategy.
DANISH LABOR INSTITUTE HAVE PRODUCE FIGURE TODAY .,the danish labour institute has produced figures today.
THAT CAN BE AVOID .,that can be avoided.
X-WE HAVE TO AVOID X-IT .,we have to avoid it.
"DESC-INCIDENTALLY , THIS WEEK , X-WE BE DESC-ALSO PROPOSE DESC-NEW EUROPEAN MECHANISM FOR DESC-FINANCIAL STABILITY .","incidentally, this week, we are also proposing new european mechanisms for financial stability."
"IF IMPLEMENT AS X-IT STAND , EUROPE 2020 WILL BE ANOR LISBON STRATEGY FAILURE .","if implemented as it stands, europe 2020 will be another lisbon strategy failure."
EUROPE SHOULD DESC-INSTEAD DARE TO ATTACK SE CHALLENGE HEAD ON WITH DESC-BOLD GOVERNANCE PROPOSAL .,europe should instead dare to attack these challenges head on with bold governance proposals.
"DESC-FIRSTLY , DESC-OPEN COORDINATION METHOD BE DESC-NOT WORK AND MUST BE ABANDON .","firstly, open coordination methods are not working and must be abandoned."
DESC-OPEN PROCESS WOULD CREATE TRANSPARENCY AND PERMIT CITIZEN INVOLVEMENT .,opening the process would create transparency and permit citizen involvement.
"AS EUROPEAN POLITICIAN , X-WE SHOULD DESC-ALWAYS STRIVE TO PUT CITIZEN AT CENTER X-WE POLICY .","as european politicians, we should always strive to put citizens at the centre of our policy."
"LV THANK X-YOU , MADAM PRESIDENT .","lv thank you, madam president."
"IN DESC-OR WORD , THIS MEAN THAT UNTIL 2020 , EQUALISATION DESC-ECONOMIC DISPARITY WILL BE DESC-LESS DESC-DYNAMIC .","in other words, this means that until 2020, the equalisation of economic disparities will be less dynamic."
THANK X-YOU .,thank you.
"EL MADAM PRESIDENT , X-I THINK X-WE HAVE DEAL DESC-SUFFICIENTLY AND DESC-FAIRLY WITH ISSUE GREECE .","el madam president, I think we have dealt sufficiently and fairly with the issue of greece."
X-I SHOULD LIKE TO TOUCH ON ISSUE THAT DESC-ALSO CONCERN DESC-OR COUNTRY .,i should like to touch on an issue that also concerns other countries.
MR SCHULZ SAY THAT INTEREST RATE DESC-CURRENTLY STAND AT 2 3 % IN EUROPE .,mr schulz said that the interest rate currently stands at 2 3 % in europe.
"X-I SHOULD LIKE TO TELL X-YOU THAT IN CYPRUS , INTEREST RATE DESC-CURRENTLY STAND AT 6 % .","i should like to tell you that in cyprus, the interest rate currently stands at 6 %."
ANYTHING ABOVE THIS LEVEL AND BANK BE ON X-Y KNEE AND NOTHING CAN CHANGE THIS PICTURE .,anything above this level and banks are on their knees and nothing can change this picture.
X-I SHOULD LIKE TO MAKE TWO PROPOSAL,i should like to make two proposals
X-WE GIVE BILLION TO BANK IN BID TO GET BANK ROLL .,we give billions to banks in the bid to get banks rolling.
"X-I HAVE ONE THING TO SAY ABOUT ONE MINUTE SPEECH , MADAM PRESIDENT .","i have one thing to say about the one minute speeches, madam president."
X-I BE DESC-SORRY BUT X-I WISH TO SAY THAT ONE MINUTE BE DESC-NOT DESC-LONG DESC-ENOUGH TO DESC-PRESENT VIEW .,i am sorry but I wish to say that one minute is not long enough to present a view.
"IN DESC-FINAL ANALYSIS , X-IT BE DESC-HUMILIATING TO HAVE TO RESORT TO SLOGAN .","in the final analysis, it is humiliating to have to resort to slogan."
X-I HOPE THAT X-WE DO DESC-NOT HAVE MISSION DESC-IMPOSSIBLE ON X-WE HAND .,i hope that we do not have the mission impossible on our hands.
BAILOUT MEMBER STATE MAY DESC-NOT SURVIVE DESC-PROBABLE DESC-CONSTITUTIONAL APPEAL IN GERMANY .,bailing member states may not survive a reasonable constitutional appeal in germany.
HOW DESC-MUCH DESC-STRUCTURAL FUND ?,how much structural funds?
"DESC-ONLY BETWEEN 1 2 % BE USE IN SME SECTOR IN SOME REGION , ACCORD TO BODY REPRESENT SME .","only between 1 2 % is used in the sme sector in some regions, according to the bodies representing smes."
"SE BE DESC-REAL PROBLEM , AFFECT DESC-REAL ECONOMY , WHICH EUROPE SHOULD ADDRESS DESC-VERY DESC-SERIOUSLY AND DESC-URGENTLY .","these are real problems, affecting the real economy, which europe should address very seriously and urgently."
"DE MADAM PRESIDENT , X-I WOULD LIKE TO START WITH SOME PRAISE FOR GREECE .","de madam president, I would like to start with some praise for greece."
SOLUTION TO GREEK CRISIS MUST ENTAIL DESC-TOUGH REFORM MEASURE IN GREECE .,the solution to the greek crisis must entail tough reform measures in greece.
THAT BE DESC-RIGHT PATH TO TAKE .,that is the right path to take.
TO MR SCHULZ X-I WOULD SAY TURN DESC-UP VOLUME BE NO SUBSTITUTE FOR KNOW FACT .,to mr schulz I would say turning up the volume is no substitute for knowing the facts.
DESC-NOT DESC-OR .,not others.
DESC-NOW X-IT BE BE ASSERT THAT BLAME LIE WITH SPECULATOR .,now it is being asserted that blame lies with speculators.
DESC-LESS THAN DESC-THIRD GREEK DESC-NATIONAL DEBT BE DESC-SECURE BY CREDIT DEFAULT SWAP .,less than a third of greek national debt is secured by credit default swaps.
DESC-LESS THAN ONE THOUSANDTH DESC-GLOBAL CD DERIVATIVE RELATE TO GREECE .,less than one thousand global cd derivatives relate to greece.
THAT BE DESC-JUST EXCUSE .,that is just an excuse.
APPLAUSE,applause
SOLIDARITY THAT HELP GREECE TO ACCOMPLISH WHAT X-IT HAVE TO DO .,solidarity that helps greece to accomplish what it has to do.
THAT BE DESC-CRUCIAL THING .,that is a crucial thing.
CHANCELLOR KOHL WOULD HAVE SAIDLET X-POSS SOLVE THIS PROBLEM DESC-TOGER WITH GREECE .,chancellor kohl would have savedlet's solved this problem together with greece.
